"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660057.000000,0.705067,0.796265,8.227892,8.227892,2.000000,2.000000,7.281207,0.100000,0.258322,-0.380317,4.026582,0.999003,-52.917482,-47.229043,119.834964,128.496041
660058.000000,0.744573,0.434330,6.159444,6.159444,2.000000,2.000000,5.407930,0.100000,0.105101,0.357337,1.527335,0.999003,-41.337295,-35.667308,96.674591,105.335668
660059.000000,0.634035,0.561619,7.441834,7.441834,2.000000,2.000000,7.543952,0.100000,0.121407,-0.188137,4.145992,0.999003,-66.677757,-60.977007,147.355514,156.016591
660060.000000,0.738555,0.617447,3.861017,3.861017,2.000000,2.000000,5.668435,0.100000,0.444284,0.830921,7.753121,0.999003,-86.620145,-80.894952,187.240290,195.901367
660061.000000,0.911419,0.664001,33.018844,33.018844,2.000000,2.000000,7.248094,0.100000,0.269074,-0.218983,6.895402,0.999003,-59.200609,-54.157545,132.401218,141.062295
660062.000000,0.828901,0.450923,4.132952,4.132952,2.000000,2.000000,6.495839,0.100000,0.320006,0.099611,3.696352,0.999003,-48.194308,-42.423418,110.388616,119.049693
660063.000000,0.639921,0.475399,5.200853,5.200853,2.000000,2.000000,9.158428,0.100000,0.213636,0.603563,5.460610,0.999003,-51.599302,-45.881549,117.198604,125.859681
660064.000000,0.493407,0.575035,1.485617,1.485617,2.000000,2.000000,10.120268,0.100000,0.243328,0.644073,4.620759,0.999003,-38.744613,-32.974318,91.489226,100.150304
660065.000000,0.395741,0.463513,4.850642,4.850642,2.000000,2.000000,7.880243,0.100000,0.442344,-0.725819,-0.506742,0.999003,-30.785893,-Inf,75.571785,84.232862
660066.000000,0.687235,0.637486,110.459069,110.459069,2.000000,2.000000,7.644824,0.100000,0.332734,-0.751292,2.734746,0.999003,-45.180043,-Inf,104.360085,113.021163
660067.000000,0.873517,0.433901,9.169253,9.169253,2.000000,2.000000,7.451726,0.100000,0.287893,-0.290546,0.928537,0.999003,-32.498606,-26.972390,78.997213,87.658290
660068.000000,0.724250,0.464120,17.045804,17.045804,2.000000,2.000000,6.036292,0.100000,0.383885,0.018949,2.121533,0.999003,-49.389489,-43.904281,112.778978,121.440055
660069.000000,0.636672,0.353087,6.063468,6.063468,2.000000,2.000000,8.949497,0.100000,0.414332,-0.328822,6.581889,0.999003,-41.122748,-35.434133,96.245497,104.906574
660070.000000,0.518775,0.654504,13.462852,13.462852,2.000000,2.000000,5.337939,0.100000,0.177210,-0.251993,5.679506,0.999003,-86.019767,-80.433149,186.039535,194.700612
660071.000000,0.685973,0.599177,12.656575,12.656575,2.000000,2.000000,5.056382,0.100000,0.264470,0.881127,3.588468,0.999003,-64.699756,-59.080996,143.399511,152.060588
660072.000000,0.685764,0.668499,9.920964,9.920964,2.000000,2.000000,7.375422,0.100000,0.285365,0.394563,4.961524,0.999003,-61.057365,-55.404492,136.114731,144.775808
660073.000000,0.482207,0.484558,14.081496,14.081496,2.000000,2.000000,7.900773,0.100000,0.229409,0.433704,9.779586,0.999003,-84.901142,-79.453747,183.802284,192.463362
660074.000000,0.782136,0.602235,1.975764,1.975764,2.000000,2.000000,5.052392,0.100000,0.358843,-0.092814,2.268507,0.999003,-72.308196,-66.519688,158.616392,167.277469
660075.000000,0.782053,0.553033,2.681075,2.681075,2.000000,2.000000,7.768994,0.100000,0.181760,-0.998628,4.376811,0.999003,-44.249761,-38.475810,102.499522,111.160600
660076.000000,0.665963,0.870987,4.725271,4.725271,2.000000,2.000000,7.500071,0.100000,0.222784,0.215050,11.422466,0.999003,-52.491028,-46.920821,118.982057,127.643134
660077.000000,0.756449,0.503753,18.086280,18.086280,2.000000,2.000000,6.954468,0.100000,0.402493,1.387515,2.808115,0.999003,-40.404895,-34.938643,94.809790,103.470867
660078.000000,0.572859,0.542413,10.223813,10.223813,2.000000,2.000000,8.825086,0.100000,0.233401,-0.687707,6.773814,0.999003,-64.818173,-59.215812,143.636345,152.297422
660079.000000,0.718709,0.484517,5.684573,5.684573,2.000000,2.000000,5.697958,0.100000,0.306146,1.109463,3.988332,0.999003,-46.831942,-41.081299,107.663884,116.324961
660080.000000,0.603997,0.548469,3.430118,3.430118,2.000000,2.000000,7.106619,0.100000,0.152394,-0.055616,6.698178,0.999003,-71.644394,-65.901337,157.288788,165.949865
660081.000000,0.671622,0.841448,9.227394,9.227394,2.000000,2.000000,8.343856,0.100000,0.213011,-0.381807,6.615037,0.999003,-61.431917,-55.807910,136.863833,145.524910
660082.000000,0.541156,0.483789,8.532331,8.532331,2.000000,2.000000,9.033403,0.100000,0.244254,0.321389,7.943354,0.999003,-66.812481,-61.205110,147.624962,156.286039
660083.000000,0.841696,0.723718,1.997878,1.997878,2.000000,2.000000,5.501996,0.100000,0.247043,0.744527,4.950311,0.999003,-53.217830,-47.419647,120.435659,129.096736
660084.000000,0.828036,0.425908,4.318076,4.318076,2.000000,2.000000,9.132384,0.100000,0.220678,-0.982832,6.595124,0.999003,-32.636686,-26.931391,79.273372,87.934450
660085.000000,0.607202,0.464435,10.423312,10.423312,2.000000,2.000000,8.992541,0.100000,0.271698,0.552764,5.686610,0.999003,-56.787975,-51.169179,127.575951,136.237028
660086.000000,0.795720,0.480319,13.390760,13.390760,2.000000,2.000000,6.969405,0.100000,0.141185,0.143882,5.130444,0.999003,-57.050260,-51.474239,128.100519,136.761597
660087.000000,0.817671,0.542188,18.682818,18.682818,2.000000,2.000000,8.342830,0.100000,0.210862,-0.561018,10.008038,0.999003,-59.918055,-54.593269,133.836109,142.497187
660088.000000,0.654827,0.399231,14.197876,14.197876,2.000000,2.000000,8.032286,0.100000,0.137373,-0.619837,1.717617,0.999003,-35.849900,-30.349594,85.699801,94.360878
660089.000000,0.655184,0.485179,8.931824,8.931824,2.000000,2.000000,9.271234,0.100000,0.236557,-0.302444,8.249203,0.999003,-54.035253,-48.447609,122.070505,130.731582
660090.000000,0.454000,0.747899,3.702004,3.702004,2.000000,2.000000,10.069464,0.100000,0.247187,0.356814,3.994044,0.999003,-40.946679,-35.202180,95.893358,104.554435
660091.000000,0.700712,0.521237,19.914580,19.914580,2.000000,2.000000,7.074879,0.100000,0.195488,-0.559300,7.191932,0.999003,-67.220308,-61.827955,148.440616,157.101693
660092.000000,0.696693,0.277997,8.148744,8.148744,2.000000,2.000000,5.598739,0.100000,0.256367,0.508355,6.524203,0.999003,-62.348520,-56.671488,138.697040,147.358118
660093.000000,0.800358,0.768598,18.250880,18.250880,2.000000,2.000000,8.586789,0.100000,0.249311,2.483007,10.440781,0.999003,-38.688868,-33.397390,91.377736,100.038813
660094.000000,0.568997,0.561012,2.013210,2.013210,2.000000,2.000000,6.460893,0.100000,0.115032,-0.217152,4.558128,0.999003,-76.684103,-70.887102,167.368205,176.029282
660095.000000,0.708090,0.286496,22.772660,22.772660,2.000000,2.000000,7.771206,0.100000,0.378346,1.339254,8.771979,0.999003,-58.012056,-52.743403,130.024112,138.685189
660096.000000,0.564976,0.788990,10.593857,10.593857,2.000000,2.000000,5.243234,0.100000,0.155647,0.955785,7.839049,0.999003,-85.630642,-80.037364,185.261284,193.922361
660097.000000,0.650191,0.523059,21.944239,21.944239,2.000000,2.000000,5.906814,0.100000,0.196140,0.579040,8.726186,0.999003,-90.649475,-85.336437,195.298950,203.960028
660098.000000,0.502591,0.543397,6.614005,6.614005,2.000000,2.000000,5.781473,0.100000,0.322379,1.315660,2.974059,0.999003,-49.713473,-43.988387,113.426946,122.088023
660099.000000,0.785833,0.482270,17.301258,17.301258,2.000000,2.000000,7.458173,0.100000,0.251875,-0.175206,1.559502,0.999003,-36.522520,-31.094460,87.045039,95.706116
660100.000000,0.723117,0.576531,10.938676,10.938676,2.000000,2.000000,6.032773,0.100000,0.465876,-0.000659,5.187931,0.999003,-72.307029,-66.662183,158.614058,167.275135
